"","name","url","rent","admin","deposit","key_money","shozaichi","ekitoho_1","ekitoho_2","ekitoho_3","floor_plan","floor_plan_detail","area","age","floor","muki","kouzou","lat","lng","details","flag_teikishakuya","rent_total","dist_nakanosakaue","flag_not_unitbath","flag_kado","flag_yokushitsu_kansou","flag_autolock","flag_takuhai","flag_3_konro","flag_2_konro","flag_onsui"
"11","Ｔ.Park’s HIGASHINAKANO","https://suumo.jp/chintai/jnc_000031135599/?bc=100151719559",115000,4000,115000,172500,"東京都中野区東中野２","ＪＲ総武線/東中野駅 歩9分","都営大江戸線/中野坂上駅 歩4分","東京メトロ東西線/落合駅 歩14分","1DK","洋4.5 DK8",34.25,19,6,"南","鉄骨",35.7011173941615,139.680991542816,"バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、南向き、角住戸、脱衣所、エレベーター、洗面所独立、2口コンロ、駐輪場、CATV、光ファイバー、即入居可、2面採光、最上階、出窓、東南角住戸、敷金1ヶ月、全居室フローリング、玄関ホール、ネット専用回線、駅まで平坦、内装リフォーム済、緑豊かな住宅地、全室南向き、エアコン全室、トランクルーム、保証金不要、1フロア2住戸、南面リビング、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、高層階、上階無し、敷地内ごみ置き場、都市ガス、初期費用カード決済可",0,119000,463.342242145494,1,1,0,1,0,0,1,0
"12","T.Parks HIGASHINAKANO","https://suumo.jp/chintai/jnc_000044676793/?bc=100138585326",118000,4000,118000,177000,"東京都中野区東中野２","ＪＲ中央線/東中野駅 歩9分","東京メトロ丸ノ内線/中野坂上駅 歩7分","東京メトロ東西線/落合駅 歩17分","1LDK","洋5 LD8.8K1.5",36.73,19,3,"東","鉄骨",35.701067681017,139.681104034963,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、浴室乾燥機、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、角住戸、温水洗浄便座、脱衣所、エレベーター、洗面所独立、2口コンロ、駐輪場、CATV、光ファイバー、外壁タイル張り、2面採光、BS・CS、防犯カメラ、保証人不要、敷金1ヶ月、二人入居相談、CS、保証金不要、24時間換気システム、外壁コンクリート、耐震構造、24時間ゴミ出し可、敷地内ごみ置き場、都市ガス、BS、保証会社利用可、初期費用カード決済可",0,122000,455.619710380464,1,1,1,1,0,0,1,1
"13","東京メトロ丸ノ内線 中野坂上駅 3階建 築18年","https://suumo.jp/chintai/jnc_000048150094/?bc=100151806887",129000,0,129000,129000,"東京都中野区中央２","東京メトロ丸ノ内線/中野坂上駅 歩5分","ＪＲ中央線/東中野駅 歩10分","東京メトロ丸ノ内線/新中野駅 歩17分","1DK","洋6.3 DK8.5",35.56,18,1,"西","鉄筋コン",35.7002344559905,139.681488479517,"バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、洗面所独立、駐輪場、CATV、光ファイバー、外壁タイル張り、BS・CS、3口以上コンロ、独立型キッチン、IHクッキングヒーター、全居室収納、グリル付、敷金1ヶ月、二人入居相談、全居室フローリング、玄関ホール、3面採光、2沿線利用可、CS、キッチンに窓、眺望良好、エアコン全室、浴室に窓、3方角住戸、全室2面採光、始発駅、3駅以上利用可、駅徒歩5分以内、敷地内ごみ置き場、全居室6畳以上、都市ガス、洗面所にドア、玄関収納、BS、高速ネット対応、礼金1ヶ月、通風良好",0,129000,357.999367997878,1,1,0,1,0,1,0,1
"14","都営大江戸線 中野坂上駅 3階建 築18年","https://suumo.jp/chintai/jnc_000045246384/?bc=100151694745",129000,0,129000,129000,"東京都中野区中央２","都営大江戸線/中野坂上駅 歩5分","ＪＲ総武線/東中野駅 歩10分","東京メトロ丸ノ内線/新中野駅 歩15分","1DK","洋6.3 DK8.5",34.16,18,1,"西","鉄筋コン",35.7001594736092,139.681794844527,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、光ファイバー、閑静な住宅地、2面採光、3口以上コンロ、グリル付、敷金1ヶ月、全居室フローリング、玄関ホール、3面採光、ネット専用回線、キッチンに窓、内装リフォーム済、エアコン全室、浴室に窓、24時間換気システム、3方角住戸、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、礼金1ヶ月、初期費用カード決済可",0,129000,345.632506928484,1,1,0,1,0,1,0,1
"15","ウイステリアガーデン","https://suumo.jp/chintai/jnc_000048163197/?bc=100151822105",135000,4000,135000,135000,"東京都中野区本町２","東京メトロ丸ノ内線/中野坂上駅 歩6分","東京メトロ丸ノ内線/中野新橋駅 歩11分","都営大江戸線/西新宿五丁目駅 歩15分","1LDK","洋6 LDK10.6",40,6,3,"南","鉄骨",35.6952047110082,139.679588018622,"バストイレ別、バルコニー、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、陽当り良好、システムキッチン、南向き、追焚機能浴室、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、駐輪場、閑静な住宅地、防犯カメラ、独立型キッチン、オートバス、グリル付、敷金1ヶ月、バイク置場、全居室フローリング、玄関ホール、ディンプルキー、緑豊かな住宅地、眺望良好、保証金不要、24時間換気システム、平坦地、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、都市ガス、ワイドバルコニー、フットライト、BS、マルチメディアコンセント、礼金1ヶ月、初期費用カード決済可、全室照明付",0,139000,315.331193183088,1,0,1,1,0,0,0,1
"16","東京メトロ丸ノ内線 中野坂上駅 3階建 築6年","https://suumo.jp/chintai/jnc_000048177746/?bc=100151799550",135000,4000,135000,202500,"東京都中野区本町２","東京メトロ丸ノ内線/中野坂上駅 歩5分","都営大江戸線/西新宿五丁目駅 歩13分","東京メトロ丸ノ内線/中野新橋駅 歩10分","1LDK","洋6 LDK10.6",39.12,6,3,"西","その他",35.6952016556383,139.679581908176,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、駐輪場、最上階、3口以上コンロ、対面式キッチン、防犯カメラ、グリル付、全居室洋室、敷金1ヶ月、バイク置場、全居室フローリング、玄関ホール、2沿線利用可、2駅利用可、3駅以上利用可、駅徒歩5分以内、駅徒歩10分以内、上階無し、敷地内ごみ置き場、都市ガス、浴室床暖房、BS、通風良好",0,139000,315.971268982325,1,0,1,1,0,1,0,1
"17","東京メトロ丸ノ内線 中野坂上駅 4階建 築14年","https://suumo.jp/chintai/jnc_000045888257/?bc=100151825845",125000,8000,125000,125000,"東京都中野区中央１","東京メトロ丸ノ内線/中野坂上駅 歩5分","東京メトロ丸ノ内線/西新宿駅 歩9分","都営大江戸線/西新宿五丁目駅 歩14分","1LDK","-",31.64,14,4,"南","鉄筋コン",35.697565745413,139.686759791739,"バストイレ別、バルコニー、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、南向き、角住戸、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、2面採光、最上階、IHクッキングヒーター、照明付、全居室洋室、保証人不要、オール電化、デザイナーズ、2沿線利用可、エアコン2台、保証金不要、クロゼット2ヶ所、耐震構造、2駅利用可、3駅以上利用可、防犯強化地域、駅徒歩5分以内、駅徒歩10分以内、全居室6畳以上、洗面所にドア、南面バルコニー、高速ネット対応、初期費用カード決済可、通風良好",0,133000,414.367973855931,1,1,0,1,0,0,1,1
"18","ルビア中野坂上","https://suumo.jp/chintai/jnc_000045888256/?bc=100149803378",125000,8000,125000,125000,"東京都中野区中央１","東京メトロ丸ノ内線/中野坂上駅 歩5分","都営大江戸線/中野坂上駅 歩5分","ＪＲ中央線/東中野駅 歩15分","1LDK","洋6 LDK8.0",31.64,14,4,"南","鉄筋コン",35.6975960185526,139.68671673873,"バストイレ別、バルコニー、エアコン、クロゼット、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、南向き、角住戸、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、2口コンロ、駐輪場、CATV、光ファイバー、即入居可、閑静な住宅地、2面採光、最上階、防犯カメラ、IHクッキングヒーター、照明付、全居室洋室、保証人不要、単身者相談、仲介手数料不要、敷金1ヶ月、二人入居相談、オール電化、全居室フローリング、デザイナーズ、ディンプルキー、ネット専用回線、眺望良好、ダブルロックキー、24時間換気システム、クロゼット2ヶ所、南面リビング、耐火構造、耐震構造、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、敷地内ごみ置き場、オープンキッチン、都市ガス、洗面所にドア、南面バルコニー、礼金1ヶ月、保証会社利用可、IT重説 対応物件、初期費用カード決済可、通風良好",0,133000,410.975948629349,1,1,0,1,0,0,1,1
"19","シャングリラベル新宿","https://suumo.jp/chintai/jnc_000045095730/?bc=100147092077",120000,3000,120000,120000,"東京都中野区中央１","東京メトロ丸ノ内線/中野坂上駅 歩5分","ＪＲ中央線/東中野駅 歩11分","東京メトロ丸ノ内線/西新宿駅 歩14分","2DK","洋6 洋6 DK6.8",42,26,2,"東","鉄筋コン",35.6996457278646,139.684710442588,"バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、シューズボックス、システムキッチン、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、光ファイバー、照明付、グリル付、全居室洋室、振分、保証人不要、敷金1ヶ月、全居室フローリング、ガスレンジ付、始発駅、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、都市ガス、洗面所にドア、玄関収納、年内入居可、礼金1ヶ月、初期費用カード決済可",0,123000,364.331011812694,1,0,0,1,0,0,1,0
"20","ＭＭマンション","https://suumo.jp/chintai/jnc_000047915764/?bc=100151764408",115000,0,115000,115000,"東京都中野区本町３","都営大江戸線/中野坂上駅 歩4分","東京メトロ丸ノ内線/新中野駅 歩9分","ＪＲ総武線/東中野駅 歩18分","2LDK","洋6 洋4.5 LDK9",42.65,45,9,"西","鉄筋コン",35.6973527395655,139.677701430604,"バストイレ別、バルコニー、エアコン、クロゼット、フローリング、オートロック、室内洗濯置、陽当り良好、シューズボックス、角住戸、脱衣所、エレベーター、洗面所独立、2口コンロ、駐輪場、押入、CATV、光ファイバー、即入居可、2面採光、グリル付、全居室洋室、振分、敷金1ヶ月、CATVインターネット、全居室フローリング、駅まで平坦、内装リフォーム済、緑豊かな住宅地、保証金不要、浴室に窓、事務所相談、ルームシェア相談、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩5分以内、上階無し、敷地内ごみ置き場、都市ガス、ワイドバルコニー、玄関収納、礼金1ヶ月、初期費用カード決済可",0,115000,410.486171385319,1,1,0,1,0,0,1,0
